iter	Passed	Remaining
0	205	205417
1	243	121499
2	292	97222
3	322	80226
4	355	70660
5	386	64028
6	448	63686
7	516	64048
8	548	60423
9	579	57358
10	611	54984
11	644	53065
12	691	52489
13	729	51372
14	761	49978
15	794	48838
16	827	47831
17	859	46872
18	891	46005
19	920	45119
20	954	44490
21	986	43848
22	1018	43253
23	1048	42635
24	1079	42108
25	1113	41721
26	1144	41244
27	1175	40818
28	1203	40299
29	1233	39886
30	1274	39851
31	1308	39586
32	1342	39353
33	1376	39101
34	1431	39458
35	1462	39166
36	1492	38835
37	1521	38523
38	1552	38263
39	1583	38008
40	1613	37740
41	1644	37521
42	1679	37373
43	1711	37191
44	1743	36995
45	1775	36820
46	1805	36604
47	1835	36404
48	1868	36254
49	1900	36112
50	1932	35960
51	1964	35811
52	1996	35675
53	2028	35529
54	2059	35393
55	2089	35224
56	2119	35063
57	2148	34888
58	2176	34714
59	2211	34641
60	2256	34729
61	2297	34758
62	2338	34783
63	2388	34925
64	2435	35033
65	2466	34911
66	2495	34747
67	2524	34601
68	2554	34463
69	2589	34405
70	2621	34304
71	2651	34174
72	2683	34078
73	2715	33975
74	2747	33882
75	2815	34228
76	2851	34185
77	2896	34241
78	2938	34258
79	2982	34296
80	3030	34382
81	3096	34664
82	3127	34548
83	3157	34431
84	3190	34349
85	3221	34236
86	3267	34292
87	3299	34198
88	3375	34553
89	3443	34815
90	3490	34866
91	3548	35018
92	3607	35187
93	3678	35455
94	3735	35590
95	3792	35710
96	3867	36002
97	3943	36297
98	4013	36522
99	4088	36792
100	4161	37043
101	4240	37331
102	4315	37581
103	4411	38004
104	4486	38240
105	4568	38528
106	4644	38758
107	4707	38879
108	4759	38902
109	4816	38970
110	4878	39075
111	4946	39220
112	5004	39285
113	5044	39207
114	5074	39047
115	5102	38888
116	5132	38734
117	5160	38576
118	5191	38431
119	5218	38266
120	5264	38241
121	5295	38112
122	5326	37976
123	5370	37942
124	5421	37953
125	5450	37809
126	5479	37663
127	5506	37515
128	5535	37376
129	5566	37253
130	5596	37122
